investor_id,total_transactions,first_txn,last_txn,max_gap_days,avg_gap_days,at_risk_gap_count,total_invested,avg_sip_amount,is_at_risk,risk_tier
INV000020,6,2024-06-28,2025-04-13,122.0,57.8,3,1113745,185624.16666666666,True,Churned
INV000021,6,2024-03-09,2025-03-21,137.0,75.4,3,807228,134538.0,True,Churned
INV000022,6,2024-01-27,2025-05-20,178.0,95.8,5,1054287,175714.5,True,Churned
INV000023,10,2024-03-21,2025-05-05,115.0,45.55555555555556,4,461628,46162.8,True,Churned
INV000024,8,2024-05-05,2025-03-04,167.0,43.285714285714285,3,1254570,156821.25,True,Churned
INV000025,1,2024-05-01,2024-05-01,,,0,13678,13678.0,False,New
INV000026,7,2024-01-18,2025-03-27,145.0,72.33333333333333,3,826838,118119.71428571429,True,Churned
INV000027,7,2024-05-29,2025-05-15,140.0,58.5,3,1465451,209350.14285714287,True,Churned
INV000028,9,2024-02-07,2025-05-20,232.0,58.5,4,1065631,118403.44444444444,True,Churned
INV000029,11,2024-05-16,2025-05-15,71.0,36.4,4,894277,81297.90909090909,True,High Risk
INV000030,12,2024-01-17,2025-03-13,92.0,38.27272727272727,5,1315849,109654.08333333333,True,Churned
INV000031,6,2024-02-29,2025-04-29,262.0,85.0,2,542411,90401.83333333333,True,Churned
INV000032,8,2024-01-07,2025-04-25,166.0,67.71428571428571,5,1231203,153900.375,True,Churned
INV000033,11,2024-02-02,2025-05-09,87.0,46.2,7,1131799,102890.81818181818,True,High Risk
INV000034,3,2024-10-29,2025-02-10,62.0,52.0,2,296610,98870.0,True,High Risk
INV000035,2,2024-11-11,2025-04-04,144.0,144.0,1,1710,855.0,True,Churned
INV000036,2,2024-05-29,2024-09-05,99.0,99.0,1,11059,5529.5,True,Churned
INV000037,5,2024-05-19,2025-01-24,126.0,62.5,3,1139629,227925.8,True,Churned
INV000038,7,2024-03-28,2025-04-17,183.0,64.16666666666667,3,793676,113382.28571428571,True,Churned
INV000039,8,2024-04-27,2025-05-02,94.0,52.857142857142854,5,482497,60312.125,True,Churned
INV000040,10,2024-02-12,2025-05-21,118.0,51.55555555555556,5,1480910,148091.0,True,Churned
INV000041,6,2024-04-05,2025-03-14,144.0,68.6,4,1521738,253623.0,True,Churned
INV000042,5,2025-03-14,2025-05-21,31.0,17.0,0,577025,115405.0,False,Active
INV000043,3,2024-04-03,2025-03-31,286.0,181.0,2,494094,164698.0,True,Churned
INV000044,6,2024-01-09,2025-03-29,290.0,89.0,3,703471,117245.16666666667,True,Churned
INV000045,10,2024-03-13,2025-03-01,70.0,39.22222222222222,5,1295094,129509.4,True,High Risk
INV000046,7,2024-03-20,2025-05-26,292.0,72.0,3,834098,119156.85714285714,True,Churned
INV000047,5,2024-01-10,2024-09-08,115.0,60.5,3,917232,183446.4,True,Churned
INV000048,11,2024-03-27,2025-03-30,120.0,36.8,4,208461,18951.0,True,Churned
INV000049,3,2024-01-20,2025-05-29,425.0,247.5,2,37744,12581.333333333334,True,Churned
INV000050,3,2024-08-12,2025-01-02,129.0,71.5,1,279000,93000.0,True,Churned
INV000051,6,2024-02-27,2025-01-08,167.0,63.2,3,1256292,209382.0,True,Churned
INV000052,10,2024-03-31,2025-05-19,129.0,46.0,5,1164105,116410.5,True,Churned
INV000053,2,2025-04-29,2025-05-06,7.0,7.0,0,9834,4917.0,False,Active
INV000054,7,2024-05-30,2025-05-01,103.0,56.0,5,488684,69812.0,True,Churned
INV000055,12,2024-01-30,2025-03-05,107.0,36.36363636363637,5,1966742,163895.16666666666,True,Churned
INV000056,8,2024-01-10,2025-04-22,161.0,66.85714285714286,6,290649,36331.125,True,Churned
INV000057,11,2024-04-30,2025-04-13,65.0,34.8,5,826946,75176.90909090909,True,High Risk
INV000058,7,2024-01-05,2024-12-11,121.0,56.833333333333336,3,537154,76736.28571428571,True,Churned
INV000059,1,2024-01-10,2024-01-10,,,0,1764,1764.0,False,New
INV000060,2,2024-04-26,2024-07-25,90.0,90.0,1,24574,12287.0,True,High Risk
INV000061,5,2024-02-21,2024-11-16,179.0,67.25,2,607545,121509.0,True,Churned
INV000062,8,2024-01-30,2025-05-08,148.0,66.28571428571429,5,1245620,155702.5,True,Churned
INV000063,3,2024-01-19,2025-03-30,403.0,218.0,1,9210,3070.0,True,Churned
INV000064,1,2024-07-30,2024-07-30,,,0,473247,473247.0,False,New
INV000065,6,2024-01-05,2025-04-08,122.0,91.8,5,431252,71875.33333333333,True,Churned
INV000066,7,2024-07-01,2025-03-03,115.0,40.833333333333336,2,1210286,172898.0,True,Churned
INV000067,1,2024-10-29,2024-10-29,,,0,538,538.0,False,New
INV000068,1,2025-02-02,2025-02-02,,,0,417438,417438.0,False,New
INV000069,12,2024-02-14,2025-05-01,110.0,40.18181818181818,4,691513,57626.083333333336,True,Churned
INV000070,4,2024-03-14,2025-02-18,157.0,113.66666666666667,3,218564,54641.0,True,Churned
INV000071,7,2024-03-15,2024-06-09,56.0,14.333333333333334,1,883938,126276.85714285714,True,At Risk
INV000072,10,2024-03-19,2025-05-13,188.0,46.666666666666664,4,1360992,136099.2,True,Churned
INV000073,10,2024-03-20,2025-05-05,112.0,45.666666666666664,4,389007,38900.7,True,Churned
INV000074,11,2024-01-08,2025-05-30,191.0,50.8,4,966394,87854.0,True,Churned
INV000075,7,2024-05-01,2025-05-10,87.0,62.333333333333336,6,522440,74634.28571428571,True,High Risk
INV000076,9,2024-01-29,2025-05-10,148.0,58.375,4,779077,86564.11111111111,True,Churned
INV000077,2,2024-07-01,2024-09-26,87.0,87.0,1,687684,343842.0,True,High Risk
INV000078,4,2024-02-13,2025-05-17,231.0,153.0,3,797804,199451.0,True,Churned
INV000079,9,2024-02-03,2025-04-27,120.0,56.125,5,582247,64694.11111111111,True,Churned
INV000080,5,2024-06-27,2025-02-25,167.0,60.75,2,424500,84900.0,True,Churned
INV000081,11,2024-01-01,2025-05-03,167.0,48.8,5,1246072,113279.27272727272,True,Churned
INV000082,9,2024-01-09,2025-05-25,225.0,62.75,3,467544,51949.333333333336,True,Churned
INV000083,2,2024-02-13,2024-08-11,180.0,180.0,1,93284,46642.0,True,Churned
INV000084,7,2024-02-10,2025-05-14,155.0,76.5,4,790760,112965.71428571429,True,Churned
INV000085,8,2024-02-02,2025-02-01,135.0,52.142857142857146,3,1103908,137988.5,True,Churned
INV000086,12,2024-02-05,2025-03-13,102.0,36.54545454545455,4,924447,77037.25,True,Churned
INV000087,10,2024-02-20,2025-05-29,103.0,51.55555555555556,5,1535954,153595.4,True,Churned
INV000088,4,2024-05-24,2024-08-02,54.0,23.333333333333332,1,456686,114171.5,True,At Risk
INV000089,11,2024-01-23,2025-05-28,130.0,49.1,5,1902611,172964.63636363635,True,Churned
INV000090,7,2024-07-08,2025-04-25,148.0,48.5,2,1238312,176901.7142857143,True,Churned
INV000091,12,2024-01-04,2025-05-20,112.0,45.63636363636363,5,983083,81923.58333333333,True,Churned
INV000092,5,2024-03-07,2025-02-27,225.0,89.25,2,532320,106464.0,True,Churned
INV000093,10,2024-01-30,2025-04-18,111.0,49.333333333333336,4,938401,93840.1,True,Churned
INV000094,11,2024-02-17,2025-05-10,173.0,44.8,4,1072694,97517.63636363637,True,Churned
INV000095,9,2024-03-21,2025-05-14,155.0,52.375,5,1454422,161602.44444444444,True,Churned
INV000096,2,2024-12-14,2024-12-16,2.0,2.0,0,17236,8618.0,False,Active
INV000097,11,2024-01-01,2025-04-02,183.0,45.7,5,956579,86961.72727272728,True,Churned
INV000098,7,2024-03-20,2025-04-25,111.0,66.83333333333333,4,263030,37575.71428571428,True,Churned
INV000099,8,2024-03-19,2025-03-21,178.0,52.42857142857143,3,609026,76128.25,True,Churned
INV000100,8,2024-02-04,2025-04-09,155.0,61.42857142857143,3,1666238,208279.75,True,Churned
INV000101,12,2024-02-08,2025-05-17,102.0,42.18181818181818,5,1074030,89502.5,True,Churned
INV000102,11,2024-02-11,2025-05-13,97.0,45.7,6,833234,75748.54545454546,True,Churned
INV000103,8,2024-02-08,2025-04-30,137.0,63.857142857142854,4,812455,101556.875,True,Churned
INV000104,12,2024-01-06,2025-05-15,79.0,45.0,6,1570044,130837.0,True,High Risk
INV000105,10,2024-01-02,2025-02-04,87.0,44.333333333333336,5,609014,60901.4,True,High Risk
INV000106,4,2024-09-23,2025-03-31,111.0,63.0,2,438624,109656.0,True,Churned
INV000107,5,2024-05-04,2024-11-20,138.0,50.0,1,689715,137943.0,True,Churned
INV000108,9,2024-03-30,2025-03-30,165.0,45.625,3,1510587,167843.0,True,Churned
INV000109,10,2024-02-29,2025-03-05,63.0,41.111111111111114,5,370528,37052.8,True,High Risk
INV000110,3,2024-04-26,2024-12-26,194.0,122.0,2,16633,5544.333333333333,True,Churned
INV000111,2,2024-05-25,2024-12-16,205.0,205.0,1,71275,35637.5,True,Churned
INV000112,4,2024-02-13,2024-10-11,167.0,80.33333333333333,2,374488,93622.0,True,Churned
INV000113,9,2024-02-11,2025-05-01,144.0,55.625,4,572762,63640.22222222222,True,Churned
INV000114,4,2024-05-17,2024-10-06,96.0,47.333333333333336,1,933047,233261.75,True,Churned
INV000115,6,2024-02-02,2025-05-17,136.0,94.0,5,734219,122369.83333333333,True,Churned
INV000116,5,2024-04-27,2025-03-08,133.0,78.75,3,476636,95327.2,True,Churned
INV000117,8,2024-04-04,2025-04-23,124.0,54.857142857142854,4,1343830,167978.75,True,Churned
INV000118,6,2024-09-01,2025-05-12,152.0,50.6,2,64549,10758.166666666666,True,Churned
INV000119,2,2024-09-14,2025-02-03,142.0,142.0,1,34154,17077.0,True,Churned
INV000120,4,2024-02-05,2025-01-18,223.0,116.0,2,47430,11857.5,True,Churned
INV000121,4,2024-04-12,2025-05-18,170.0,133.66666666666666,3,723039,180759.75,True,Churned
INV000122,1,2024-03-25,2024-03-25,,,0,46110,46110.0,False,New
INV000123,9,2024-03-28,2025-03-21,138.0,44.75,4,429370,47707.77777777778,True,Churned
INV000124,6,2024-02-15,2025-04-24,210.0,86.8,3,620700,103450.0,True,Churned
INV000125,7,2024-06-16,2025-05-25,92.0,57.166666666666664,5,766736,109533.71428571429,True,Churned
INV000126,3,2024-01-06,2025-01-25,258.0,192.5,2,358987,119662.33333333333,True,Churned
INV000127,3,2024-05-14,2025-02-01,240.0,131.5,1,624406,208135.33333333334,True,Churned
INV000128,10,2024-03-19,2025-05-03,129.0,45.55555555555556,4,833586,83358.6,True,Churned
INV000129,11,2024-01-09,2025-05-14,105.0,49.1,6,1611261,146478.27272727274,True,Churned
INV000130,10,2024-04-14,2025-03-24,97.0,38.22222222222222,5,2281059,228105.9,True,Churned
INV000131,12,2024-02-07,2025-03-28,64.0,37.72727272727273,6,1926246,160520.5,True,High Risk
INV000132,9,2024-05-12,2025-05-16,125.0,46.125,3,1102531,122503.44444444444,True,Churned
INV000133,7,2024-02-15,2025-05-01,265.0,73.5,2,470935,67276.42857142857,True,Churned
INV000134,3,2024-01-20,2024-07-12,106.0,87.0,2,14726,4908.666666666667,True,Churned
INV000135,4,2024-01-24,2024-11-29,238.0,103.33333333333333,2,65453,16363.25,True,Churned
INV000136,1,2024-09-02,2024-09-02,,,0,820,820.0,False,New
INV000137,9,2024-05-08,2025-04-07,73.0,41.75,5,1432382,159153.55555555556,True,High Risk
INV000138,12,2024-01-09,2025-05-22,170.0,45.36363636363637,4,2106027,175502.25,True,Churned
INV000139,1,2024-03-24,2024-03-24,,,0,6583,6583.0,False,New
INV000140,4,2024-04-09,2025-04-02,157.0,119.33333333333333,3,762552,190638.0,True,Churned
INV000141,1,2025-03-18,2025-03-18,,,0,8219,8219.0,False,New
INV000142,1,2024-01-11,2024-01-11,,,0,145769,145769.0,False,New
INV000143,7,2024-02-28,2025-01-01,146.0,51.333333333333336,3,597772,85396.0,True,Churned
INV000144,6,2024-01-04,2025-01-03,193.0,73.0,3,614283,102380.5,True,Churned
INV000145,9,2024-02-17,2025-05-09,98.0,55.875,5,788760,87640.0,True,Churned
INV000146,8,2024-02-12,2025-01-11,109.0,47.714285714285715,3,378075,47259.375,True,Churned
INV000147,7,2024-05-11,2025-04-24,141.0,58.0,4,577043,82434.71428571429,True,Churned
INV000148,10,2024-03-11,2025-05-01,168.0,46.22222222222222,4,323740,32374.0,True,Churned
INV000149,1,2025-05-20,2025-05-20,,,0,445493,445493.0,False,New
INV000150,9,2024-01-12,2025-04-20,165.0,58.0,4,675917,75101.88888888889,True,Churned
INV000151,6,2024-04-14,2025-03-14,115.0,66.8,4,999068,166511.33333333334,True,Churned
INV000152,2,2024-08-26,2024-11-21,87.0,87.0,1,360590,180295.0,True,High Risk
INV000153,10,2024-06-20,2025-03-30,93.0,31.444444444444443,2,1274163,127416.3,True,Churned
INV000154,9,2024-01-29,2025-05-16,99.0,59.125,6,1207941,134215.66666666666,True,Churned
INV000155,8,2024-01-07,2025-01-28,163.0,55.285714285714285,4,288188,36023.5,True,Churned
INV000156,7,2024-01-08,2025-05-01,130.0,79.83333333333333,4,611092,87298.85714285714,True,Churned
INV000157,1,2025-02-13,2025-02-13,,,0,132893,132893.0,False,New
INV000158,8,2024-02-02,2025-04-23,118.0,63.714285714285715,4,1335840,166980.0,True,Churned
INV000159,3,2024-04-19,2025-05-26,218.0,201.0,2,38250,12750.0,True,Churned
INV000160,5,2024-08-03,2025-05-14,143.0,71.0,3,684118,136823.6,True,Churned
INV000161,9,2024-02-23,2025-05-06,191.0,54.75,4,908572,100952.44444444444,True,Churned
INV000162,2,2024-03-06,2025-05-15,435.0,435.0,1,18379,9189.5,True,Churned
INV000163,10,2024-01-06,2025-03-08,80.0,47.44444444444444,6,820316,82031.6,True,High Risk
INV000164,6,2024-04-17,2025-02-20,208.0,61.8,2,25253,4208.833333333333,True,Churned
INV000165,9,2024-02-13,2025-05-29,236.0,58.875,5,1305699,145077.66666666666,True,Churned
INV000166,7,2024-01-06,2025-05-18,253.0,83.0,3,724893,103556.14285714286,True,Churned
INV000167,9,2024-01-09,2025-05-27,195.0,63.0,5,832173,92463.66666666667,True,Churned
INV000168,3,2024-02-22,2025-03-12,320.0,192.0,2,253235,84411.66666666667,True,Churned
INV000169,12,2024-03-03,2025-05-30,121.0,41.18181818181818,4,955776,79648.0,True,Churned
INV000170,3,2024-08-13,2024-10-03,33.0,25.5,0,191963,63987.666666666664,False,Active
INV000171,4,2024-01-11,2024-09-27,103.0,86.66666666666667,3,498641,124660.25,True,Churned
INV000172,5,2024-04-12,2025-05-17,298.0,100.0,2,264205,52841.0,True,Churned
INV000173,11,2024-04-18,2025-03-30,156.0,34.6,3,1193694,108517.63636363637,True,Churned
INV000174,8,2024-01-27,2025-05-19,117.0,68.28571428571429,5,1006601,125825.125,True,Churned
INV000175,12,2024-01-12,2025-05-28,150.0,45.63636363636363,5,552311,46025.916666666664,True,Churned
INV000176,5,2024-02-08,2025-05-30,204.0,119.25,3,213899,42779.8,True,Churned
INV000177,11,2024-01-16,2025-04-18,210.0,45.8,4,1297837,117985.18181818182,True,Churned
INV000178,2,2024-06-08,2025-01-24,230.0,230.0,1,8750,4375.0,True,Churned
INV000179,6,2024-05-25,2024-11-20,85.0,35.8,2,264872,44145.333333333336,True,High Risk
INV000180,8,2024-04-11,2025-03-12,226.0,47.857142857142854,2,518114,64764.25,True,Churned
INV000181,10,2024-01-05,2025-04-20,264.0,52.333333333333336,3,1237265,123726.5,True,Churned
INV000182,10,2024-01-06,2025-05-17,182.0,55.22222222222222,6,686041,68604.1,True,Churned
INV000183,12,2024-02-20,2025-05-22,177.0,41.54545454545455,4,779515,64959.583333333336,True,Churned
INV000184,1,2024-02-10,2024-02-10,,,0,6111,6111.0,False,New
INV000185,2,2024-05-04,2024-11-16,196.0,196.0,1,14773,7386.5,True,Churned
INV000186,2,2024-02-23,2024-06-23,121.0,121.0,1,717823,358911.5,True,Churned
INV000187,1,2024-06-23,2024-06-23,,,0,185221,185221.0,False,New
INV000188,2,2024-09-27,2025-05-04,219.0,219.0,1,511402,255701.0,True,Churned
INV000189,6,2024-01-14,2025-04-16,120.0,91.6,5,430516,71752.66666666667,True,Churned
INV000190,8,2024-02-24,2025-05-29,240.0,65.71428571428571,3,919360,114920.0,True,Churned
INV000191,11,2024-01-18,2025-03-17,85.0,42.4,5,873257,79387.0,True,High Risk
INV000192,8,2024-02-11,2025-03-16,122.0,57.0,5,702787,87848.375,True,Churned
INV000193,9,2024-01-28,2025-05-08,208.0,58.25,4,1152639,128071.0,True,Churned
INV000194,12,2024-05-04,2025-05-10,109.0,33.72727272727273,4,1383163,115263.58333333333,True,Churned
INV000195,10,2024-03-14,2025-04-30,114.0,45.77777777777778,6,651434,65143.4,True,Churned
INV000196,9,2024-02-06,2025-05-05,147.0,56.75,5,450427,50047.444444444445,True,Churned
INV000197,4,2024-01-19,2025-02-26,210.0,134.66666666666666,3,673748,168437.0,True,Churned
INV000198,1,2024-09-07,2024-09-07,,,0,462,462.0,False,New
INV000199,7,2024-02-04,2025-02-24,191.0,64.33333333333333,2,737787,105398.14285714286,True,Churned
INV000200,7,2024-01-16,2025-03-10,163.0,69.83333333333333,5,1174752,167821.7142857143,True,Churned
INV000201,10,2024-01-17,2025-03-30,100.0,48.666666666666664,5,257189,25718.9,True,Churned
INV000202,3,2024-03-21,2025-03-04,272.0,174.0,2,423540,141180.0,True,Churned
INV000203,9,2024-03-19,2025-02-01,131.0,39.875,3,1119242,124360.22222222222,True,Churned
INV000204,7,2024-02-16,2025-04-05,173.0,69.0,4,1192888,170412.57142857142,True,Churned
INV000205,10,2024-01-27,2025-04-09,193.0,48.666666666666664,4,763652,76365.2,True,Churned
INV000206,3,2024-07-03,2025-03-20,175.0,130.0,2,616094,205364.66666666666,True,Churned
INV000207,5,2024-04-25,2025-05-10,238.0,95.0,3,66956,13391.2,True,Churned
INV000208,1,2024-06-19,2024-06-19,,,0,2572,2572.0,False,New
INV000209,2,2024-12-07,2025-01-05,29.0,29.0,0,58689,29344.5,False,Active
INV000210,9,2024-01-14,2025-05-23,163.0,61.875,5,515430,57270.0,True,Churned
INV000211,9,2024-01-14,2025-05-16,190.0,61.0,4,808138,89793.11111111111,True,Churned
INV000212,2,2024-06-18,2024-09-14,88.0,88.0,1,365168,182584.0,True,High Risk
INV000213,6,2024-03-09,2024-12-04,103.0,54.0,3,447781,74630.16666666667,True,Churned
INV000214,10,2024-01-11,2025-04-29,206.0,52.666666666666664,4,1345476,134547.6,True,Churned
INV000215,9,2024-01-04,2025-03-30,198.0,56.375,4,715932,79548.0,True,Churned
INV000216,6,2024-04-02,2024-12-23,107.0,53.0,2,201946,33657.666666666664,True,Churned
INV000217,11,2024-02-04,2025-05-09,150.0,46.0,3,1591554,144686.72727272726,True,Churned
INV000218,1,2024-05-31,2024-05-31,,,0,8003,8003.0,False,New
INV000219,5,2024-07-01,2025-03-10,166.0,63.0,2,606953,121390.6,True,Churned
INV000220,6,2024-01-12,2025-02-18,253.0,80.6,3,214477,35746.166666666664,True,Churned
INV000221,8,2024-07-21,2025-04-16,101.0,38.42857142857143,3,690183,86272.875,True,Churned
INV000222,6,2024-03-22,2024-11-05,109.0,45.6,2,591433,98572.16666666667,True,Churned
INV000223,11,2024-01-13,2025-05-25,123.0,49.8,5,1429882,129989.27272727272,True,Churned
INV000224,7,2024-06-19,2025-05-30,138.0,57.5,4,461098,65871.14285714286,True,Churned
INV000225,8,2024-02-10,2025-02-20,150.0,53.714285714285715,5,1295037,161879.625,True,Churned
INV000226,8,2024-01-27,2025-05-28,105.0,69.57142857142857,5,770094,96261.75,True,Churned
INV000227,5,2024-02-27,2024-10-11,165.0,56.75,1,742149,148429.8,True,Churned
INV000228,12,2024-01-10,2025-05-02,109.0,43.45454545454545,6,1139471,94955.91666666667,True,Churned
INV000229,7,2024-08-08,2025-05-13,78.0,46.333333333333336,4,351011,50144.42857142857,True,High Risk
INV000230,10,2024-01-24,2025-04-24,145.0,50.666666666666664,5,871715,87171.5,True,Churned
INV000231,11,2024-01-07,2024-12-13,96.0,34.1,3,1384176,125834.18181818182,True,Churned
INV000232,2,2024-04-12,2024-11-03,205.0,205.0,1,281312,140656.0,True,Churned
INV000233,2,2024-01-10,2024-08-02,205.0,205.0,1,332214,166107.0,True,Churned
INV000234,7,2024-01-01,2025-05-02,167.0,81.16666666666667,4,1023999,146285.57142857142,True,Churned
INV000235,10,2024-02-04,2025-02-17,140.0,42.111111111111114,4,1555926,155592.6,True,Churned
INV000236,8,2024-01-18,2025-05-02,112.0,67.14285714285714,6,112217,14027.125,True,Churned
INV000237,3,2024-06-04,2024-11-14,127.0,81.5,2,383052,127684.0,True,Churned
INV000238,10,2024-02-08,2025-05-21,242.0,52.0,4,1046071,104607.1,True,Churned
INV000239,11,2024-04-16,2025-03-24,66.0,34.2,5,933691,84881.0,True,High Risk
INV000240,2,2024-08-17,2024-10-30,74.0,74.0,1,122545,61272.5,True,High Risk
INV000241,10,2024-01-29,2025-01-31,93.0,40.888888888888886,4,1587726,158772.6,True,Churned
INV000242,10,2024-03-01,2025-05-21,98.0,49.55555555555556,6,1205258,120525.8,True,Churned
INV000243,8,2024-01-25,2025-04-10,126.0,63.0,6,597733,74716.625,True,Churned
INV000244,9,2024-02-15,2024-11-13,109.0,34.0,3,1636852,181872.44444444444,True,Churned
INV000245,11,2024-02-08,2025-05-14,92.0,46.1,5,1278858,116259.81818181818,True,Churned
INV000246,4,2024-01-18,2024-10-21,117.0,92.33333333333333,3,54530,13632.5,True,Churned
INV000247,1,2025-01-31,2025-01-31,,,0,164460,164460.0,False,New
INV000248,4,2024-06-13,2025-02-24,204.0,85.33333333333333,2,485895,121473.75,True,Churned
INV000249,8,2024-04-09,2025-01-07,162.0,39.0,1,694554,86819.25,True,Churned
INV000250,1,2024-03-08,2024-03-08,,,0,107697,107697.0,False,New
INV000251,6,2024-06-04,2025-04-25,204.0,65.0,2,1185941,197656.83333333334,True,Churned
INV000252,10,2024-01-20,2024-12-16,96.0,36.77777777777778,4,1629324,162932.4,True,Churned
INV000253,2,2024-01-14,2025-04-16,458.0,458.0,1,406328,203164.0,True,Churned
INV000254,2,2024-08-26,2025-05-02,249.0,249.0,1,51387,25693.5,True,Churned
INV000255,8,2024-03-05,2025-04-01,149.0,56.0,4,563828,70478.5,True,Churned
INV000256,12,2024-03-02,2025-04-29,79.0,38.45454545454545,6,1910266,159188.83333333334,True,High Risk
INV000257,8,2024-05-03,2025-05-11,88.0,53.285714285714285,4,1025371,128171.375,True,High Risk
INV000258,1,2024-05-31,2024-05-31,,,0,11103,11103.0,False,New
INV000259,9,2024-01-25,2025-01-12,119.0,44.125,5,759815,84423.88888888889,True,Churned
INV000260,12,2024-01-08,2025-02-28,126.0,37.90909090909091,3,922766,76897.16666666667,True,Churned
INV000261,10,2024-01-14,2025-04-12,228.0,50.44444444444444,3,1663672,166367.2,True,Churned
INV000262,12,2024-04-18,2025-04-28,95.0,34.09090909090909,4,886465,73872.08333333333,True,Churned
INV000263,9,2024-01-11,2025-05-04,229.0,59.875,4,361956,40217.333333333336,True,Churned
INV000264,3,2024-12-05,2025-05-17,158.0,81.5,1,64609,21536.333333333332,True,Churned
INV000265,12,2024-01-25,2025-05-20,140.0,43.72727272727273,5,482980,40248.333333333336,True,Churned
INV000266,7,2024-02-01,2025-02-08,104.0,62.166666666666664,4,822551,117507.28571428571,True,Churned
INV000267,12,2024-02-25,2025-03-10,134.0,34.45454545454545,4,2202108,183509.0,True,Churned
INV000268,11,2024-01-22,2025-03-29,106.0,43.2,6,1146388,104217.09090909091,True,Churned
INV000269,4,2024-01-21,2024-12-22,156.0,112.0,3,326686,81671.5,True,Churned
INV000270,6,2024-01-18,2024-09-18,130.0,48.8,3,951377,158562.83333333334,True,Churned
INV000271,6,2024-02-13,2025-05-26,203.0,93.6,3,835693,139282.16666666666,True,Churned
INV000272,4,2024-07-28,2025-05-13,228.0,96.33333333333333,2,70152,17538.0,True,Churned
INV000273,1,2025-03-19,2025-03-19,,,0,11637,11637.0,False,New
INV000274,6,2024-01-26,2025-04-16,175.0,89.2,4,323960,53993.333333333336,True,Churned
INV000275,4,2024-03-08,2025-04-15,255.0,134.33333333333334,2,404646,101161.5,True,Churned
INV000276,6,2024-03-08,2025-02-13,187.0,68.4,2,464251,77375.16666666667,True,Churned
INV000277,1,2024-08-29,2024-08-29,,,0,4236,4236.0,False,New
INV000278,8,2024-02-03,2025-05-17,193.0,67.0,5,1422228,177778.5,True,Churned
INV000279,12,2024-03-01,2025-02-11,133.0,31.545454545454547,3,840511,70042.58333333333,True,Churned
INV000280,12,2024-01-22,2025-04-12,112.0,40.54545454545455,5,822770,68564.16666666667,True,Churned
INV000281,4,2024-03-08,2025-04-21,382.0,136.33333333333334,1,538049,134512.25,True,Churned
INV000282,4,2024-06-13,2025-05-21,278.0,114.0,2,664580,166145.0,True,Churned
INV000283,11,2024-02-11,2025-05-21,132.0,46.5,5,1591615,144692.27272727274,True,Churned
INV000284,7,2024-04-16,2025-05-03,137.0,63.666666666666664,4,775076,110725.14285714286,True,Churned
INV000285,5,2024-04-25,2025-01-12,94.0,65.5,3,681359,136271.8,True,Churned
INV000286,7,2024-01-15,2025-05-06,215.0,79.5,3,467468,66781.14285714286,True,Churned
INV000287,9,2024-01-17,2025-03-11,171.0,52.375,3,461954,51328.22222222222,True,Churned
INV000288,9,2024-01-07,2025-04-08,84.0,57.125,7,1650419,183379.88888888888,True,High Risk
INV000289,12,2024-01-21,2025-04-04,93.0,39.90909090909091,6,1389256,115771.33333333333,True,Churned
INV000290,4,2024-01-12,2024-11-26,229.0,106.33333333333333,2,704907,176226.75,True,Churned
INV000291,9,2024-02-13,2025-05-03,189.0,55.625,4,873779,97086.55555555556,True,Churned
INV000292,11,2024-05-07,2025-04-30,85.0,35.8,5,1291756,117432.36363636363,True,High Risk
